Page ID,Page Name,Disclaimer,Amount Spent (PLN)
353030510177,Centrum Nauki Kopernik,Centrum Nauki Kopernik,1003
371359310400318,Janusz Kowalski,Janusz Kowalski,993
240360349829878,Otvarta,These ads ran without a disclaimer,990
859626697394473,Horodyska Anna Starosta Powiatu Strzelińskiego,KKW Koalicja Obywatelska PO .N IPL,990
185265414715,Onet,These ads ran without a disclaimer,987
147547541961576,Council of the European Union,Council of the European Union,986
654912251187357,Grupa PGE,These ads ran without a disclaimer,983
487999078296664,Grzegorz Zieliński - Radny Rady Miejskiej w Lubinie,KKW Koalicja Obywatelska PO .N IPL Zieloni,974
415023695371209,NOIZZ.pl,NOIZZ.pl,948
329822703732548,player.pl,These ads ran without a disclaimer,945
1851601788258292,Sztuczna Inteligencja,Ośrodek Przetwarzania Informacji - Państwowy Instytut Badawczy,940
2441930755826028,E-Dopłaty,These ads ran without a disclaimer,940
505842266159802,Stowarzyszenie "Podwale Siedem",Stowarzyszenie Podwale Siedem,939
552661358110680,Krzysztof Kubów Sekretarz Stanu KPRM,Krzysztof Kubów (PiS),938
110496355685054,Projekt Test,Fundacja Edukacji Społecznej,936
111086506895303,Dorota Baranowska - Radna Rady Miasta Zgorzelec,KKW Koalicja Obywatelska PO .N iPL Zieloni,931
266659403739571,uStyle.pl,These ads ran without a disclaimer,929
220473935337563,Gotard - Biuro Rachunkowe,Gotard Biuro Rachunkowe,927
1967695263556184,Sylwia Spurek,European Parliament–S&D Group,925
106708966025605,Wydawnictwo W.A.B.,Grupa Wydawnicza Foksal,924
1593828134172917,Open Eyes Economy,Open Eyes Economy,922
830561370356753,Czerkawski Odszkodowania Sp z oo,These ads ran without a disclaimer,919
173184660508,Centrum Myśli Jana Pawła II,Centrum Myśli Jana Pawła II,913
101854721421733,Świadczenie dla Opiekuna,Vestra,912
180185019111,Tygodnik Powszechny,Tygodnik Powszechny,909
1540990229471708,Mirosław Łopatka,These ads ran without a disclaimer,907
100343481348246,dr Małgorzata Beślerzewska,KKW Koalicja Obywatelska PO .N IPL Zieloni,906
294018820689458,Reserved Kids,These ads ran without a disclaimer,903
1374526796141456,Wrocławski Budżet Obywatelski,Wrocławski Budżet Obywatelski,902
177473808919,Polskie Stronnictwo Ludowe,Komitet Wyborczy Polskie Stronnictwo Ludowe,901
101185701666967,Stop Milczeniu - stop pedofilii w kościele,Stop Milczeniu,891
1833207823379404,Tomasz Górzyński,Tomasz Bartłomiej Górzyński,890
