Page ID,Page Name,Disclaimer,Amount Spent (DKK)
700191296727686,MENY,MENY,2367
12458150929,Radikale Venstre,Radikale Venstre,2353
1677055535924085,Røgfri Fremtid,These ads ran without a disclaimer,2337
1701135240186838,Anne Valentina Berthelsen,Berthelsen Anne,2332
1402158879999552,Tom Block,Larsen Tom Block,2323
190638967645704,Maersk,Mcnab Alex Lawrence,2321
285722315449568,Mai Villadsen,Enhedslisten,2299
646735655435113,Bevar en stærk TrygFond,Tobias Bornakke Jørgensen,2277
320982581296484,TV 2 PLAY,These ads ran without a disclaimer,2267
219579671541765,Hospice Forum Danmark,Hospice Forum Danmark,2236
465451353467954,Huawei Mobile,These ads ran without a disclaimer,2218
421631444601562,Christina Krzyrosiak Hansen,These ads ran without a disclaimer,2208
2071183673144991,Pernille Weiss,These ads ran without a disclaimer,2200
437035763321568,HK Danmark - Under Uddannelse,HK Danmark,2187
200709746630443,Dyrenes Beskyttelse,These ads ran without a disclaimer,2186
1471913586453233,Organdonation - ja tak,Organdonation - ja tak,2177
108870284268969,Lars Bjarne Nielsen Greve Byråd 2021,Lars Bjarne Nielsen,2170
111394892261429,Morten Messerschmidt,Dansk Folkeparti,2130
252460092159583,Bo trygt,Bo trygt,2116
699619700116377,Sophie Løhde,Sophie Løhde,2110
253132104886911,Kvisten,Kvisten,2097
185741612014,Nordisk Ministerråd og Nordisk Råd,Nordisk Ministerråd og Nordisk Råd,2078
101815824662724,Denonlineavis.dk,Jacob Tanis,2077
250994288337708,Sex og Samfund,These ads ran without a disclaimer,2069
1692293757749735,Tanja Larsson - Socialdemokratiet,Tanja Larsson,2062
103369033067277,NOAH,Sørensen Jacob,2062
713191148820633,Bauta Forsikring,Bauta Forsikring,2059
1531094703803625,fakta,These ads ran without a disclaimer,2056
130494840642224,Mette Gjerskov - Socialdemokratiet,Mette Gjerskov - Socialdemokratiet,2053
323782467803321,Carl Valentin,SF,2051
105395168200117,Thomas Jørgensen - Kandidat,Thomas Jørgensen,2031
261240774042881,Henrik Boye,Boye Henrik,2025
298461170736,U.S. Embassy Denmark,U.S. Embassy Denmark,2020
146955527905,EU Civil Protection & Humanitarian Aid - ECHO,These ads ran without a disclaimer,2015
113452100038490,zeeroo.me,Peter Frølund,2012
103832601410786,Nissin Cup Noodles Danmark,These ads ran without a disclaimer,2001
1904828859626638,Nikolaj Vester - Liberal Alliance,Nielsen Nikolaj Vester,1999
290107361108795,Magistrenes A-kasse,Magistrenes A-kasse,1993
1595135787365287,Dansk Retursystem,Dansk Retursystem,1988
