Page ID,Page Name,Disclaimer,Amount Spent (RON),Number of Ads in Library
689386518104305,Radu Mihaiu,USR Sector 2,21350,98
574372066308729,Basism,Grupul de Investigatii Politice,21325,15
238161130013060,PNL Giurgiu,Partidul Naţional Liberal,21314,209
546021442088116,Erwin Albu,Albu Erwin-Vlad,21191,31
424953360918046,Octavian Badescu,Octavian Badescu,21121,118
422079857963680,PNL Constanţa,Partidul Național Liberal filiala Constanța,21098,37
141366725876424,European Greens,European Greens,21075,9
1569314583329364,Vergil Chițac,PNL - Filiala Constanta,21058,76
767582706713570,Allen Coliban,USR Brașov,21025,159
1094773083945512,Claudiu Nasui,USR București,21003,10
257393234343076,Adrian Țuțuianu,Pro România Dâmbovița,21001,90
137259469989828,Florin Remeţan,Isidor's Software Solutions SRL,21000,31
339365506708219,Departamentul pentru Agricultură și Dezvoltare Rurală al PSD,Partidul Social Democrat,20846,27
364446500390294,Ilan Laufer,Ilan Laufer,20834,161
624378404873325,Bogdan Dumitrescu,"Partidul Libertate, Unitate și Solidaritate",20694,56
100658794826152,Moraru Mihai Razvan,PLUS Buzau,20547,30
618899354811552,Cristian Daniel Stan,"PSD Dâmbovița, Cod Mandatar Financiar: 21200019",20537,17
421280451283707,PNL Sector 3,PNL Sector 3,20520,205
745975698891864,Cristina Iurisniti,Cristina Iurisniti,20491,158
715786165255092,Dan Vîlceanu,PNL Gorj,20380,18
518360088519274,Cristache Cătălin,Cristache Catalin,20374,100
501922796520976,Recolamp,Recolamp,20253,303
1769713886444816,Râsu Plânsu,These ads ran without a disclaimer,20246,12
183473261723511,Ziar Piatra Neamt,Ziar Piatra Neamt,20218,82
101234161684006,Adrian Moraru,Partidul Naţional Liberal,20192,62
668319153280411,Corina Martin,Admin Tools SRL,20157,63
697451833786949,Mihai Polițeanu,USR Prahova,20129,127
561681477298135,Mihai Chirica,Mihai Chirica,20043,50
1004811666340032,"1000 év Erdélyben, 100 év Romániában","1000 év Erdélyben, 100 év Romániában",19987,460
